Country,hotel,is_canceled,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,iso_code,market_segment,distribution_channel,previous_cancellations,customer_type,adr
"United Kingdom","Resort Hotel",0,2015,July,1,4,11,2,0,0,GBR,"Offline TA/TO",TA/TO,0,Transient,64
Portugal,"Resort Hotel",1,2015,July,1,2,8,2,0,0,PRT,Direct,Direct,0,Transient,108
Ireland,"Resort Hotel",0,2015,July,2,2,4,2,0,0,IRL,"Offline TA/TO",TA/TO,0,Transient,66
Portugal,"Resort Hotel",1,2015,July,2,1,3,3,0,0,PRT,"Online TA",TA/TO,0,Transient,109
Portugal,"Resort Hotel",1,2015,July,2,1,3,3,0,0,PRT,"Online TA",TA/TO,0,Transient,109
Spain,"Resort Hotel",0,2015,July,2,1,3,2,0,0,ESP,"Online TA",TA/TO,0,Transient,98
Portugal,"Resort Hotel",0,2015,July,2,1,3,3,0,0,PRT,"Online TA",TA/TO,0,Transient,109
Portugal,"Resort Hotel",1,2015,July,2,1,3,3,0,0,PRT,"Online TA",TA/TO,0,Transient,109
Romania,"Resort Hotel",0,2015,July,2,2,3,2,0,0,ROU,Direct,Direct,0,Transient,137
Portugal,"Resort Hotel",1,2015,July,2,2,3,2,0,0,PRT,"Online TA",TA/TO,0,Transient,118
Ireland,"Resort Hotel",0,2015,July,2,2,3,2,0,0,IRL,"Offline TA/TO",TA/TO,0,Contract,80
Spain,"Resort Hotel",0,2015,July,2,2,3,2,0,0,ESP,Direct,Direct,0,Transient,123
Romania,"Resort Hotel",0,2015,July,2,2,3,2,0,0,ROU,Direct,Direct,0,Transient,137
Portugal,"Resort Hotel",0,2015,July,2,2,5,2,0,0,PRT,"Online TA",TA/TO,0,Transient,111
Portugal,"Resort Hotel",1,2015,July,2,2,5,2,2,0,PRT,"Online TA",TA/TO,0,Transient,153
Spain,"Resort Hotel",0,2015,July,2,2,5,2,0,0,ESP,"Offline TA/TO",TA/TO,0,Transient,59
Norway,"Resort Hotel",0,2015,July,2,2,5,2,0,0,NOR,"Offline TA/TO",TA/TO,0,Transient-Party,83
"United Kingdom","Resort Hotel",0,2015,July,2,2,5,2,0,0,GBR,"Offline TA/TO",TA/TO,0,Contract,82
Ireland,"Resort Hotel",0,2015,July,2,2,5,2,0,0,IRL,"Online TA",TA/TO,0,Transient,119
Norway,"Resort Hotel",0,2015,July,2,2,5,2,0,0,NOR,"Offline TA/TO",TA/TO,0,Transient-Party,68
Ireland,"Resort Hotel",0,2015,July,2,3,8,2,0,0,IRL,"Offline TA/TO",TA/TO,0,Contract,56
Oman,"Resort Hotel",0,2015,July,2,4,10,2,0,0,OMN,"Offline TA/TO",TA/TO,0,Contract,111
Spain,"Resort Hotel",0,2015,July,2,0,1,2,0,0,ESP,"Online TA",TA/TO,0,Transient,88
Argentina,"Resort Hotel",0,2015,July,2,0,1,2,0,0,ARG,"Online TA",TA/TO,0,Transient,147
Spain,"Resort Hotel",0,2015,July,2,0,1,2,2,0,ESP,Direct,Direct,0,Transient,107
Portugal,"Resort Hotel",0,2015,July,2,0,1,2,0,0,PRT,Direct,Direct,0,Transient,147
Portugal,"Resort Hotel",0,2015,July,2,0,1,2,0,0,PRT,"Online TA",TA/TO,0,Transient,118
Portugal,"Resort Hotel",0,2015,July,2,0,1,2,0,0,PRT,Direct,Direct,0,Transient,123
"United States","Resort Hotel",0,2015,July,2,0,2,2,0,0,USA,"Online TA",TA/TO,0,Transient,98
Portugal,"Resort Hotel",0,2015,July,2,0,2,2,0,0,PRT,"Online TA",TA/TO,0,Transient,118
Ireland,"Resort Hotel",0,2015,July,2,0,2,2,0,0,IRL,"Online TA",TA/TO,0,Transient,135
Spain,"Resort Hotel",0,2015,July,2,0,3,2,0,0,ESP,Direct,Direct,0,Transient,133
Ireland,"Resort Hotel",0,2015,July,2,0,3,2,0,0,IRL,"Offline TA/TO",TA/TO,0,Contract,59
Portugal,"Resort Hotel",1,2015,July,2,0,3,2,0,0,PRT,"Online TA",TA/TO,0,Transient,136
"United States","Resort Hotel",0,2015,July,3,0,2,2,2,0,USA,"Online TA",TA/TO,0,Transient,153
Spain,"Resort Hotel",0,2015,July,3,0,2,2,0,0,ESP,"Online TA",TA/TO,0,Transient,111
Poland,"Resort Hotel",0,2015,July,3,0,2,2,0,0,POL,"Online TA",TA/TO,0,Transient,97
Portugal,"Resort Hotel",1,2015,July,3,0,2,3,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,110
Portugal,"Resort Hotel",1,2015,July,3,0,2,2,0,0,PRT,"Online TA",TA/TO,0,Transient,82
Portugal,"Resort Hotel",1,2015,July,3,0,2,2,0,0,PRT,"Online TA",TA/TO,0,Transient,97
Portugal,"Resort Hotel",1,2015,July,3,0,2,2,0,0,PRT,"Online TA",TA/TO,0,Transient,74
Portugal,"Resort Hotel",0,2015,July,3,0,2,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,92
Spain,"Resort Hotel",0,2015,July,3,0,2,2,0,0,ESP,"Online TA",TA/TO,0,Transient,115
Portugal,"Resort Hotel",1,2015,July,3,0,2,3,0,0,PRT,"Online TA",TA/TO,0,Transient,110
Spain,"Resort Hotel",0,2015,July,3,1,2,2,0,0,ESP,"Online TA",TA/TO,0,Transient,91
Portugal,"Resort Hotel",1,2015,July,3,1,2,2,0,0,PRT,"Online TA",TA/TO,0,Transient,123
Portugal,"Resort Hotel",0,2015,July,3,2,2,1,0,0,PRT,"Online TA",TA/TO,0,Transient,122
Germany,"Resort Hotel",0,2015,July,3,2,2,2,0,0,DEU,"Offline TA/TO",TA/TO,0,Transient,111
Portugal,"Resort Hotel",0,2015,July,3,2,6,3,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,86
France,"Resort Hotel",0,2015,July,3,2,7,2,0,0,FRA,"Offline TA/TO",TA/TO,0,Contract,59
Portugal,"Resort Hotel",1,2015,July,3,3,7,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Contract,56
"United Kingdom","Resort Hotel",0,2015,July,3,3,7,2,0,0,GBR,"Offline TA/TO",TA/TO,0,Contract,56
Portugal,"Resort Hotel",1,2015,July,3,3,7,2,0,0,PRT,Direct,Direct,0,Transient,124
"United Kingdom","Resort Hotel",0,2015,July,3,3,7,2,0,0,GBR,"Offline TA/TO",TA/TO,0,Contract,111
"United Kingdom","Resort Hotel",0,2015,July,3,4,10,2,0,0,GBR,"Offline TA/TO",TA/TO,0,Contract,135
"United Kingdom","Resort Hotel",0,2015,July,3,4,10,2,0,0,GBR,"Online TA",TA/TO,0,Transient,92
Portugal,"Resort Hotel",1,2015,July,3,6,15,2,1,0,PRT,"Offline TA/TO",TA/TO,0,Transient,109
"United Kingdom","Resort Hotel",0,2015,July,3,0,1,2,0,0,GBR,"Online TA",TA/TO,0,Transient,74
Portugal,"Resort Hotel",0,2015,July,3,0,1,2,0,0,PRT,"Online TA",TA/TO,0,Transient,98
Spain,"Resort Hotel",0,2015,July,3,0,1,2,0,0,ESP,"Online TA",TA/TO,0,Transient,131
Portugal,"Resort Hotel",0,2015,July,3,0,1,2,0,0,PRT,"Online TA",TA/TO,0,Transient,123
"United States","Resort Hotel",0,2015,July,3,0,1,2,0,0,USA,"Online TA",TA/TO,0,Transient,95
Belgium,"Resort Hotel",0,2015,July,3,0,1,2,0,0,BEL,"Online TA",TA/TO,0,Transient,123
Portugal,"Resort Hotel",1,2015,July,3,0,2,2,0,0,PRT,"Online TA",TA/TO,0,Transient,123
Portugal,"Resort Hotel",1,2015,July,3,0,2,2,0,0,PRT,"Online TA",TA/TO,0,Transient,74
Portugal,"Resort Hotel",1,2015,July,3,2,5,2,0,0,PRT,"Online TA",TA/TO,0,Transient,117
Spain,"Resort Hotel",0,2015,July,3,2,5,3,0,0,ESP,"Offline TA/TO",TA/TO,0,Transient,197
Portugal,"Resort Hotel",0,2015,July,3,2,5,2,1,0,PRT,"Online TA",TA/TO,0,Transient,99
Germany,"Resort Hotel",0,2015,July,3,2,5,2,0,0,DEU,Direct,Direct,0,Transient,91
Spain,"Resort Hotel",0,2015,July,4,2,1,2,0,0,ESP,Direct,Direct,0,Transient,93
France,"Resort Hotel",0,2015,July,4,2,1,2,0,0,FRA,"Offline TA/TO",TA/TO,0,Transient,72
France,"Resort Hotel",0,2015,July,4,2,4,1,2,0,FRA,"Offline TA/TO",TA/TO,0,Transient,96
Portugal,"Resort Hotel",0,2015,July,4,2,4,2,0,0,PRT,"Online TA",TA/TO,0,Transient,86
Portugal,"Resort Hotel",0,2015,July,4,2,5,2,0,0,PRT,"Online TA",TA/TO,0,Transient,96
Portugal,"Resort Hotel",1,2015,July,4,2,5,2,2,0,PRT,"Online TA",TA/TO,0,Transient,163
Portugal,"Resort Hotel",1,2015,July,4,2,5,3,0,0,PRT,Direct,Direct,0,Transient,172
Portugal,"Resort Hotel",1,2015,July,4,2,5,2,0,0,PRT,"Online TA",TA/TO,0,Transient,111
Portugal,"Resort Hotel",0,2015,July,4,2,5,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,59
Portugal,"Resort Hotel",0,2015,July,4,2,5,2,0,1,PRT,"Online TA",TA/TO,0,Transient,74
Switzerland,"Resort Hotel",0,2015,July,4,2,5,2,0,0,CHE,"Online TA",TA/TO,0,Transient,97
Portugal,"Resort Hotel",0,2015,July,4,2,5,2,0,1,PRT,"Online TA",TA/TO,0,Transient,139
"United Kingdom","Resort Hotel",0,2015,July,4,2,5,2,0,0,GBR,"Online TA",TA/TO,0,Transient,67
Portugal,"Resort Hotel",0,2015,July,4,2,6,3,0,0,PRT,"Online TA",TA/TO,0,Transient,117
Portugal,"Resort Hotel",1,2015,July,4,2,6,2,0,0,PRT,"Online TA",TA/TO,0,Transient,96
Portugal,"Resort Hotel",0,2015,July,4,2,6,2,0,0,PRT,"Online TA",TA/TO,0,Transient,123
"United Kingdom","Resort Hotel",0,2015,July,4,4,6,2,0,0,GBR,"Offline TA/TO",TA/TO,0,Contract,72
Portugal,"Resort Hotel",0,2015,July,4,4,6,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Contract,72
Portugal,"Resort Hotel",0,2015,July,4,4,6,2,1,0,PRT,Direct,Direct,0,Transient,149
Portugal,"Resort Hotel",0,2015,July,4,0,1,2,2,0,PRT,"Online TA",TA/TO,0,Transient,163
Portugal,"Resort Hotel",0,2015,July,4,0,1,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Contract,80
Portugal,"Resort Hotel",1,2015,July,4,0,1,1,0,0,PRT,"Online TA",TA/TO,0,Transient,105
Portugal,"Resort Hotel",1,2015,July,4,0,1,1,0,0,PRT,Direct,Direct,0,Transient,123
Portugal,"Resort Hotel",1,2015,July,4,0,1,2,0,0,PRT,"Online TA",TA/TO,0,Transient,74
Portugal,"Resort Hotel",1,2015,July,4,0,1,2,0,0,PRT,"Online TA",TA/TO,0,Transient,113
Portugal,"Resort Hotel",0,2015,July,4,0,1,4,0,0,PRT,Complementary,Direct,0,Transient,0
Spain,"Resort Hotel",0,2015,July,4,0,1,2,0,0,ESP,"Online TA",TA/TO,0,Transient,123
France,"Resort Hotel",0,2015,July,4,1,1,2,0,0,FRA,"Online TA",TA/TO,0,Transient-Party,74
Portugal,"Resort Hotel",0,2015,July,4,1,1,2,0,0,PRT,"Online TA",TA/TO,0,Transient,115
France,"Resort Hotel",0,2015,July,4,1,1,2,0,0,FRA,"Online TA",TA/TO,0,Transient-Party,74
France,"Resort Hotel",0,2015,July,4,1,1,2,0,0,FRA,"Online TA",TA/TO,0,Transient-Party,74
Spain,"Resort Hotel",0,2015,July,5,1,0,2,0,0,ESP,"Online TA",TA/TO,0,Transient,88
Portugal,"Resort Hotel",1,2015,July,5,1,0,2,0,0,PRT,"Online TA",TA/TO,0,Transient,97
Spain,"Resort Hotel",0,2015,July,5,1,0,2,0,0,ESP,"Online TA",TA/TO,0,Transient,85
Germany,"Resort Hotel",0,2015,July,5,1,0,1,0,0,DEU,"Online TA",TA/TO,0,Transient,89
Portugal,"Resort Hotel",0,2015,July,5,1,0,1,0,0,PRT,"Online TA",TA/TO,0,Transient,80
Portugal,"Resort Hotel",0,2015,July,5,1,0,2,0,0,PRT,"Online TA",TA/TO,0,Transient,98
Germany,"Resort Hotel",0,2015,July,5,1,0,1,0,0,DEU,"Online TA",TA/TO,0,Transient,101
Portugal,"Resort Hotel",1,2015,July,5,1,0,2,0,0,PRT,"Online TA",TA/TO,0,Transient,97
Portugal,"Resort Hotel",0,2015,July,5,1,0,2,0,0,PRT,Direct,Direct,0,Transient,167
Portugal,"Resort Hotel",0,2015,July,5,2,0,3,0,0,PRT,"Online TA",TA/TO,0,Transient,225
France,"Resort Hotel",0,2015,July,5,2,0,2,0,0,FRA,"Online TA",TA/TO,0,Transient,97
Spain,"Resort Hotel",0,2015,July,5,2,2,2,0,0,ESP,"Online TA",TA/TO,0,Transient,87
China,"Resort Hotel",0,2015,July,5,2,3,2,1,0,CN,"Offline TA/TO",TA/TO,0,Transient,86
Spain,"Resort Hotel",0,2015,July,5,2,3,2,0,0,ESP,"Online TA",TA/TO,0,Transient,123
Portugal,"Resort Hotel",0,2015,July,5,2,3,2,0,0,PRT,"Online TA",TA/TO,0,Transient,107
Spain,"Resort Hotel",0,2015,July,5,2,4,2,0,0,ESP,"Online TA",TA/TO,0,Transient,163
Portugal,"Resort Hotel",0,2015,July,5,2,4,2,0,0,PRT,"Online TA",TA/TO,0,Transient,82
Portugal,"Resort Hotel",1,2015,July,5,2,4,2,2,0,PRT,"Online TA",TA/TO,0,Transient,163
Portugal,"Resort Hotel",1,2015,July,5,2,5,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,106
Portugal,"Resort Hotel",0,2015,July,5,2,5,2,2,0,PRT,Direct,Direct,0,Transient,164
Ireland,"Resort Hotel",0,2015,July,5,2,5,2,0,0,IRL,"Online TA",TA/TO,0,Transient,97
Portugal,"Resort Hotel",1,2015,July,5,2,5,2,0,0,PRT,"Online TA",TA/TO,0,Transient,114
Spain,"Resort Hotel",0,2015,July,5,2,5,2,0,0,ESP,"Offline TA/TO",TA/TO,0,Transient,98
Switzerland,"Resort Hotel",0,2015,July,5,4,5,2,2,0,CHE,"Online TA",TA/TO,0,Transient,175
Portugal,"Resort Hotel",0,2015,July,5,4,6,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,64
Portugal,"Resort Hotel",0,2015,July,5,4,6,3,0,0,PRT,Direct,Direct,0,Transient,124
"United Kingdom","Resort Hotel",0,2015,July,5,4,7,2,0,0,GBR,"Offline TA/TO",TA/TO,0,Contract,111
"United Kingdom","Resort Hotel",0,2015,July,5,4,10,1,0,0,GBR,"Offline TA/TO",TA/TO,0,Contract,74
"United Kingdom","Resort Hotel",0,2015,July,5,4,10,2,0,0,GBR,"Offline TA/TO",TA/TO,0,Contract,134
Portugal,"Resort Hotel",0,2015,July,6,1,4,2,2,0,PRT,"Online TA",TA/TO,0,Transient,167
Portugal,"Resort Hotel",0,2015,July,6,1,3,2,0,0,PRT,"Online TA",TA/TO,0,Transient,123
"United States","Resort Hotel",0,2015,July,6,1,3,2,0,0,USA,"Online TA",TA/TO,0,Transient,118
China,"Resort Hotel",0,2015,July,6,1,3,3,0,0,CN,"Offline TA/TO",TA/TO,0,Transient,171
Switzerland,"Resort Hotel",0,2015,July,6,1,3,2,2,0,CHE,Direct,Direct,0,Transient,210
Portugal,"Resort Hotel",0,2015,July,6,1,3,2,0,1,PRT,"Online TA",TA/TO,0,Transient,97
"United States","Resort Hotel",0,2015,July,6,1,3,3,0,0,USA,"Online TA",TA/TO,0,Transient,118
Portugal,"Resort Hotel",0,2015,July,6,0,0,2,0,0,PRT,"Online TA",TA/TO,0,Transient,0
Portugal,"Resort Hotel",0,2015,July,6,0,0,1,0,0,PRT,Direct,Direct,0,Transient,0
Portugal,"Resort Hotel",0,2015,July,6,1,0,2,1,0,PRT,Direct,Direct,0,Transient,131
Portugal,"Resort Hotel",0,2015,July,6,1,1,2,0,0,PRT,"Online TA",TA/TO,0,Transient,98
"United States","Resort Hotel",0,2015,July,6,1,1,2,0,0,USA,"Online TA",TA/TO,0,Transient,87
Greece,"Resort Hotel",0,2015,July,6,1,2,2,0,0,GRC,"Online TA",TA/TO,0,Transient,97
Portugal,"Resort Hotel",1,2015,July,6,1,3,2,0,0,PRT,"Online TA",TA/TO,0,Transient,167
Portugal,"Resort Hotel",0,2015,July,6,1,3,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,92
Portugal,"Resort Hotel",0,2015,July,6,1,3,2,0,0,PRT,"Online TA",TA/TO,0,Transient,74
Portugal,"Resort Hotel",0,2015,July,6,1,4,2,0,0,PRT,"Online TA",TA/TO,0,Transient,123
Portugal,"Resort Hotel",0,2015,July,6,1,4,2,0,0,PRT,Direct,Direct,0,Transient,175
Spain,"Resort Hotel",0,2015,July,6,1,5,2,0,0,ESP,"Online TA",TA/TO,0,Transient,118
Portugal,"Resort Hotel",0,2015,July,6,1,5,2,0,0,PRT,"Online TA",TA/TO,0,Transient,118
Portugal,"Resort Hotel",0,2015,July,6,2,5,2,2,0,PRT,"Online TA",TA/TO,0,Transient,185
Portugal,"Resort Hotel",1,2015,July,6,2,5,1,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,71
"United Kingdom","Resort Hotel",0,2015,July,6,2,5,2,0,0,GBR,"Offline TA/TO",TA/TO,0,Contract,47
Portugal,"Resort Hotel",0,2015,July,6,3,5,2,0,0,PRT,"Online TA",TA/TO,0,Transient,151
Portugal,"Resort Hotel",1,2015,July,6,3,7,2,0,0,PRT,"Online TA",TA/TO,0,Transient,87
"United Kingdom","Resort Hotel",0,2015,July,6,3,7,2,0,0,GBR,"Offline TA/TO",TA/TO,0,Transient,121
"United Kingdom","Resort Hotel",0,2015,July,6,3,7,2,0,0,GBR,"Offline TA/TO",TA/TO,0,Transient,64
Portugal,"Resort Hotel",0,2015,July,6,3,7,2,0,0,PRT,Direct,Direct,0,Transient,157
"United Kingdom","Resort Hotel",0,2015,July,6,3,7,2,0,0,GBR,"Offline TA/TO",TA/TO,0,Contract,91
France,"Resort Hotel",0,2015,July,6,3,8,1,0,0,FRA,Direct,Direct,0,Transient,73
Italy,"Resort Hotel",0,2015,July,6,4,10,2,0,0,ITA,"Offline TA/TO",TA/TO,0,Contract,111
"United Kingdom","Resort Hotel",0,2015,July,6,4,10,2,0,0,GBR,"Offline TA/TO",TA/TO,0,Contract,94
Portugal,"Resort Hotel",0,2015,July,6,2,5,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,84
Portugal,"Resort Hotel",1,2015,July,7,0,2,2,0,0,PRT,"Online TA",TA/TO,0,Transient,74
Spain,"Resort Hotel",0,2015,July,7,0,3,2,0,0,ESP,"Online TA",TA/TO,0,Transient,82
Portugal,"Resort Hotel",0,2015,July,7,0,3,2,1,0,PRT,Direct,Direct,0,Transient,186
Portugal,"Resort Hotel",0,2015,July,7,0,0,2,0,0,PRT,Direct,Direct,0,Transient,0
Portugal,"Resort Hotel",0,2015,July,7,0,0,2,0,0,PRT,"Online TA",TA/TO,0,Transient,0
"United Kingdom","Resort Hotel",0,2015,July,7,0,1,1,0,0,GBR,"Online TA",TA/TO,0,Transient,110
Portugal,"Resort Hotel",0,2015,July,7,0,1,3,0,0,PRT,Direct,Direct,0,Transient,195
"United Kingdom","Resort Hotel",0,2015,July,7,0,1,1,0,0,GBR,"Online TA",TA/TO,0,Transient,110
Spain,"Resort Hotel",0,2015,July,7,0,4,3,2,0,ESP,"Online TA",TA/TO,0,Transient,193
Portugal,"Resort Hotel",0,2015,July,7,0,4,2,0,0,PRT,"Online TA",TA/TO,0,Transient,97
"United States","Resort Hotel",0,2015,July,7,0,4,3,0,0,USA,"Offline TA/TO",TA/TO,0,Transient,150
Netherlands,"Resort Hotel",0,2015,July,7,0,4,2,0,0,NLD,Direct,Direct,0,Transient,98
Portugal,"Resort Hotel",1,2015,July,7,0,5,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,92
Portugal,"Resort Hotel",1,2015,July,7,2,5,2,0,0,PRT,"Online TA",TA/TO,0,Transient,139
Ireland,"Resort Hotel",0,2015,July,7,2,5,2,0,0,IRL,"Offline TA/TO",TA/TO,0,Transient,80
Portugal,"Resort Hotel",1,2015,July,7,2,5,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Contract,47
Ireland,"Resort Hotel",0,2015,July,7,4,10,2,0,0,IRL,"Offline TA/TO",TA/TO,0,Contract,127
"United Kingdom","Resort Hotel",0,2015,July,8,0,3,2,0,0,GBR,"Online TA",TA/TO,0,Transient,107
Portugal,"Resort Hotel",0,2015,July,8,0,4,2,0,0,PRT,"Online TA",TA/TO,0,Transient,131
Spain,"Resort Hotel",0,2015,July,8,0,4,2,0,0,ESP,"Online TA",TA/TO,0,Transient,131
Portugal,"Resort Hotel",1,2015,July,8,0,4,2,0,0,PRT,"Online TA",TA/TO,0,Transient,123
Spain,"Resort Hotel",0,2015,July,8,0,4,2,0,0,ESP,"Online TA",TA/TO,0,Transient,146
Portugal,"Resort Hotel",0,2015,July,8,0,4,2,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,111
Portugal,"Resort Hotel",1,2015,July,8,0,4,2,0,0,PRT,"Online TA",TA/TO,0,Transient,74
Portugal,"Resort Hotel",0,2015,July,8,0,1,1,0,0,PRT,"Offline TA/TO",TA/TO,0,Transient,61
Portugal,"Resort Hotel",1,2015,July,8,0,1,2,0,0,PRT,Corporate,Corporate,0,Transient,105
Portugal,"Resort Hotel",1,2015,July,8,0,1,2,0,0,PRT,Corporate,Corporate,0,Transient,105
Switzerland,"Resort Hotel",0,2015,July,8,0,2,2,0,0,CHE,Corporate,Corporate,0,Transient,105
Portugal,"Resort Hotel",1,2015,July,8,1,4,2,0,0,PRT,Direct,Direct,0,Transient,66
Portugal,"Resort Hotel",0,2015,July,8,2,4,2,0,0,PRT,Direct,Direct,0,Transient,78
Portugal,"Resort Hotel",1,2015,July,8,2,5,2,1,0,PRT,"Offline TA/TO",TA/TO,0,Contract,112
"United Kingdom","Resort Hotel",0,2015,July,8,2,5,2,0,0,GBR,"Online TA",TA/TO,0,Transient,107
"United Kingdom","Resort Hotel",0,2015,July,8,2,5,2,0,0,GBR,"Offline TA/TO",TA/TO,0,Contract,90
Portugal,"Resort Hotel",0,2015,July,8,2,5,2,0,0,PRT,"Online TA",TA/TO,0,Transient,155
Ireland,"Resort Hotel",0,2015,July,8,2,6,3,0,0,IRL,Direct,Direct,0,Transient,112
Denmark,"Resort Hotel",0,2015,July,8,2,7,3,0,0,DNK,"Online TA",TA/TO,0,Transient-Party,130
Denmark,"Resort Hotel",0,2015,July,8,2,7,2,0,0,DNK,"Online TA",TA/TO,0,Transient-Party,100
Portugal,"Resort Hotel",0,2015,July,9,0,1,2,2,0,PRT,"Online TA",TA/TO,0,Transient,123
Argentina,"Resort Hotel",0,2015,July,9,0,2,3,0,0,ARG,Direct,Direct,0,Transient,124
Portugal,"Resort Hotel",0,2015,July,9,0,2,2,2,0,PRT,Direct,Direct,0,Transient,146
Portugal,"Resort Hotel",1,2015,July,9,0,3,2,0,0,PRT,Direct,Direct,0,Transient,97
Portugal,"Resort Hotel",1,2015,July,9,0,3,2,2,0,PRT,"Online TA",TA/TO,0,Transient,123
Portugal,"Resort Hotel",1,2015,July,9,0,3,2,2,0,PRT,"Online TA",TA/TO,0,Transient,153
Portugal,"Resort Hotel",0,2015,July,9,0,3,2,0,1,PRT,"Online TA",TA/TO,0,Transient,82
Portugal,"Resort Hotel",1,2015,July,9,1,3,2,0,0,PRT,"Online TA",TA/TO,0,Transient,105
Portugal,"Resort Hotel",1,2015,July,9,1,3,2,0,0,PRT,"Online TA",TA/TO,0,Transient,65
Russia,"Resort Hotel",0,2015,July,9,1,3,1,0,0,RUS,Direct,Direct,0,Transient,98
Sweden,"Resort Hotel",0,2015,July,9,2,3,2,0,0,SWE,"Online TA",TA/TO,0,Transient,75
